38 0.941728    0.941728           1    0.941327 
51 0.972237    0.972237           1    0.972221 
33 0.888187    0.888187           1    0.887825 
42 0.969794    0.969794           1    0.969763 
44 0.930212    0.930212           1    0.930108 
36 0.96527     0.95313           1    0.964934 
36 0.961311     0.95884           1     0.96129 
58 0.928135    0.910917           2    0.927521 
45 0.886164    0.886164           1    0.885694 
48 0.965396    0.965396           1    0.965386 
27 0.978265    0.978265           1    0.978197 
58 0.935351    0.924864           1    0.935328 
40 0.969388    0.971463           1    0.969258 
47 0.87658     0.87658           1    0.875955 
37 0.936211    0.936211           1    0.935826 
44 0.924528    0.924528           1    0.924357 
18 0.985848    0.985848           1     0.98584 
36 0.975381    0.975381           1    0.975355 
52 0.842072    0.842072           1    0.840408 
31 0.987083    0.987083           1    0.987083 
54 0.930378    0.929683           1     0.93033 
47 0.905663    0.905663           2    0.904881 
37 0.973149    0.973149           1    0.973139 
39 0.989054    0.989054           1    0.989054 
45 0.940647    0.940647           1    0.940596 
28 0.975479    0.975479           1    0.975461 
50 0.936299    0.936299           1    0.936299 
53 0.963984    0.963984           1    0.963903 
49 0.917859    0.917859           1    0.917641 
46 0.941242    0.941242           1     0.94122 
40 0.960631    0.960631           1    0.960539 
34 0.959469    0.959469           1     0.95946 
60 0.883164    0.883164           1    0.882826 
57 0.911217    0.901767           1    0.910916 
39 0.982785     0.98375           1    0.982749 
42 0.820322    0.820322           2    0.813475 
51 0.928086    0.928086           1    0.928041 
43 0.884904    0.884904           1    0.883073 
52 0.921685    0.921583           1     0.92152 
38 0.982749    0.983638           1    0.982728 
56 0.929651    0.929651           1    0.929332 
52 0.863009    0.857308           1    0.860922 
28 0.981626    0.981626           1    0.981613 
91 0.714331    0.714331           2    0.709387 
46 0.921552    0.921552           1    0.921158 
73 0.805373    0.805373           2    0.799203 
26 0.990509    0.990509           1    0.990507 
55 0.920077    0.920176           1    0.919862 
31 0.984996    0.986825           1    0.984859 
41 0.928475    0.931324           1    0.927163 
49 0.955291    0.954956           1    0.955213 
70 0.694773    0.694773           3    0.689402 
57 0.718837    0.736311           2    0.715485 
54 0.926228    0.926245           1    0.926201 
46 0.788457    0.788457           2    0.777052 
48 0.934048    0.934048           1    0.933719 
59 0.831056    0.831056           1     0.82986 
60 0.937742    0.937742           1    0.937716 
48 0.978613    0.978279           1    0.978581 
40 0.955808    0.955808           1    0.955779 
44 0.949416    0.942949           1    0.948666 
17 0.990304    0.990304           1    0.990292 
30 0.988761    0.988761           1     0.98876 
58 0.906009    0.905533           2    0.905396 
34 0.986326    0.986326           1    0.986323 
39 0.965983    0.965983           1    0.965977 
43 0.958882    0.958882           1    0.958689 
32 0.976995    0.976995           1    0.976955 
49 0.96897     0.96897           1    0.968962 
30 0.987977    0.987977           1    0.987969 
37 0.975744    0.975744           1    0.975726 
55 0.946356     0.95277           1    0.946245 
39 0.967523    0.967523           1    0.967516 
31 0.983091    0.983091           1    0.983088 
67 0.90195     0.90195           1    0.901888 
57 0.913067    0.913067           1      0.9128 
58 0.899704    0.899704           1    0.899571 
85 0.649045    0.649785           3    0.642657 
40 0.972117    0.972117           1    0.972092 
50 0.961223    0.961223           1    0.961184 
34 0.972566    0.972566           1     0.97249 
41 0.962681    0.962681           1    0.962646 
62 0.933045    0.933045           1    0.933043 
53 0.912851    0.912851           1     0.91277 
31 0.967843    0.968334           1    0.967732 
64 0.814834    0.814834           1    0.813484 
64 0.894374    0.894374           1    0.894118 
59 0.927118    0.927118           2    0.926849 
50 0.872436    0.872436           1    0.869983 
25 0.980903    0.980903           1    0.980901 
29 0.9845      0.9845           1    0.984489 
41 0.956568    0.956568           1    0.956506 
54 0.965226    0.965226           1     0.96522 
27 0.933017    0.933017           1    0.932995 
51 0.930475    0.930475           1    0.930469 
41 0.98009     0.98119           1    0.980042 
38 0.982038    0.981261           1    0.982011 
34 0.911969    0.911969           1    0.911766 
55 0.866806    0.866806           1     0.86661 
28 0.964691    0.964691           1    0.964523 
64 0.800524    0.800524           1    0.800171 
34 0.983458    0.983458           1    0.983419 
32 0.771987    0.772067           1    0.771824 
72 0.908175    0.914495           1    0.908076 
49 0.864129    0.864129           1    0.862048 
26 0.983923    0.983923           1    0.983917 
51 0.957063    0.957063           1    0.957055 
27 0.983061    0.983061           1    0.983052 
39 0.936489    0.936489           1    0.936461 
41 0.969113    0.966243           1    0.969104 
39 0.959477    0.959477           1    0.959465 
40 0.970823    0.970823           1    0.970798 
25 0.98569     0.98569           1    0.985688 
35 0.980816    0.979352           1    0.980656 
54 0.931379    0.924147           1    0.928866 
63 0.934565    0.934565           1    0.934364 
44 0.886374    0.886374           1    0.886013 
38 0.96413     0.96413           1    0.964128 
28 0.976147    0.976147           1    0.976144 
59 0.935784    0.935282           1    0.935765 
56 0.882101    0.882101           1    0.880705 
56 0.895341    0.895341           1    0.895325 
37 0.910548    0.910548           2    0.910261 
42 0.945523    0.945523           1    0.945461 
44 0.846515    0.845424           1    0.846487 
35 0.987795    0.987795           1    0.987795 
45 0.963403     0.96225           1    0.963238 
32 0.988052    0.988052           1    0.988048 
47 0.95389    0.941274           1    0.953435 
40 0.973839    0.965097           1    0.973832 
29 0.980039    0.980039           1    0.979998 
38 0.969984    0.969984           1    0.969903 
52 0.958655    0.958599           1    0.958486 
36 0.858142    0.858179           1     0.85795 
56 0.943502    0.943502           1    0.943498 
43 0.961762    0.960092           1     0.96173 
33 0.950427     0.94815           1     0.95039 
32 0.988868      0.9894           1    0.988626 
22 0.989407     0.98794           1    0.989328 
37 0.972035    0.972035           1    0.972033 
33 0.977105    0.977105           1    0.977102 
65 0.938025    0.936973           1    0.937857 
51 0.931433    0.925947           1    0.931398 
72 0.894516    0.894516           1    0.894475 
61 0.72212    0.708669           1    0.715234 
53 0.886094    0.886094           1    0.883467 
34 0.975753    0.975753           1    0.975747 
42 0.979496    0.979496           1    0.979487 
58 0.89206     0.89206           2    0.891042 
58 0.907285    0.921271           2    0.907166 
32 0.99482     0.99482           1     0.99482 
27 0.977704    0.977704           1    0.977693 
41 0.959036    0.959036           1    0.959015 
55 0.904416    0.904416           1    0.904405 
33 0.975381    0.975381           1    0.975304 
46 0.966567    0.966567           1    0.966532 
53 0.93769     0.93769           1    0.937684 
59 0.922897    0.922897           1    0.922882 
51 0.880192    0.880192           1    0.880021 
39 0.981036    0.981036           1    0.980996 
35 0.98325     0.98325           1    0.983225 
32 0.978535    0.978535           1    0.978512 
40 0.952289    0.952289           1    0.952198 
43 0.94109     0.94109           1     0.94105 
60 0.872241    0.872241           1    0.872083 
32 0.979746    0.979746           1    0.979743 
33 0.983509    0.984135           1    0.983472 
51 0.740462    0.740462           2    0.723247 
40 0.794472    0.801478           1    0.793346 
44 0.951862    0.951862           1    0.951846 
43 0.923706    0.923706           1    0.923686 
57 0.915402    0.915402           1    0.915219 
39 0.960319    0.960319           1    0.960232 
44 0.974153    0.974059           1    0.974148 
35 0.978673    0.974431           1    0.978456 
50 0.959392     0.95942           2    0.959364 
26 0.979379    0.978542           1    0.979361 
66 0.941272    0.941272           1    0.941231 
52 0.945227    0.945227           1    0.945054 
25 0.956671    0.956671           1    0.956481 
60 0.859495    0.859495           1    0.859443 
